year,PRR,CI_lower,CI_upper,num_reports
2004,0.660922584601,0.165303014748,2.64253294776,2
2005,0.996359775607,0.446626591596,2.2227355494,6
2006,0.718209493677,0.342142193017,1.50763304654,9
2007,0.603615476463,0.314074546681,1.1600801379,13
2008,0.643059009169,0.365142857957,1.13250165042,18
2009,0.596137548958,0.365214182281,0.973072773511,23
2010,0.62604450885,0.419609429851,0.934039368945,33
2011,0.671308745234,0.47210430245,0.954567516306,42
2012,1.01056252795,0.775780487193,1.31639895532,68
2013,1.14729198172,0.913542966149,1.44085055667,90
2014,1.07615049165,0.863309601277,1.34146530858,97
2015,1.07615049165,0.863309601277,1.34146530858,97
2016,1.07615049165,0.863309601277,1.34146530858,97
