year,PRR,CI_lower,CI_upper,num_reports
2004,0.0,nan,nan,0
2005,0.0,nan,nan,0
2006,8.37757862483,1.19886594436,58.5418444367,1
2007,5.61253988482,0.800367782484,39.3576611254,2
2008,3.61689882582,0.513448524402,25.4786146897,2
2009,1.6572096927,0.233475979771,11.7628544413,2
2010,1.2325637174,0.173559725348,8.75325951566,2
2011,2.1149218788,0.528420510381,8.46464977337,4
2012,2.97042713704,0.957804351734,9.21215001844,5
2013,6.08117350932,2.74157614301,13.4888361006,8
2014,5.65871335311,2.54769013914,12.5686543747,8
2015,5.65871335311,2.54769013914,12.5686543747,8
2016,5.65871335311,2.54769013914,12.5686543747,8
